::ffff:92.118.160.33 - - [06/Aug/2020:18:04:19 +0000] "GET / HTTP/1.1" 200 60190 "-" "NetSystemsResearch studies the availability of various services across the internet. Our website is netsystemsresearch.com"
::ffff:127.0.0.1 - - [06/Aug/2020:18:37:47 +0000] "GET /ads.txt HTTP/1.1" 404 146 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:127.0.0.1 - - [06/Aug/2020:18:42:25 +0000] "GET /non-profit-insurance HTTP/1.1" 404 159 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [06/Aug/2020:18:49:08 +0000] "GET / HTTP/1.1" 200 60190 "-" "Mozilla/5.0 (compatible; Nimbostratus-Bot/v1.3.2; http://cloudsystemnetworks.com)"
::ffff:127.0.0.1 - - [06/Aug/2020:18:51:55 +0000] "GET / HTTP/1.1" 200 60190 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
::ffff:127.0.0.1 - - [06/Aug/2020:18:51:55 +0000] "GET /lang_pack/EN.js HTTP/1.1" 404 154 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
::ffff:127.0.0.1 - - [06/Aug/2020:19:09:10 +0000] "GET / HTTP/1.1" 200 60190 "-" "-"
::ffff:127.0.0.1 - - [06/Aug/2020:19:09:11 +0000] "GET / HTTP/1.1" 200 60190 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:127.0.0.1 - - [06/Aug/2020:20:07:31 +0000] "GET / HTTP/1.1" 200 60190 "-" "Mozilla/5.0 (compatible; Nimbostratus-Bot/v1.3.2; http://cloudsystemnetworks.com)"
::ffff:127.0.0.1 - - [06/Aug/2020:20:37:59 +0000] "GET / HTTP/1.1" 200 60190 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0"
::ffff:127.0.0.1 - - [06/Aug/2020:20:39:13 +0000] "GET /robots.txt HTTP/1.1" 404 149 "-" "Go-http-client/1.1"
