::ffff:127.0.0.1 - - [17/Jun/2020:15:39:58 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://swiftbullhead.com/designs/Carebridge-Website//Html/index.html" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [17/Jun/2020:16:02:53 +0000] "GET /robots.txt HTTP/1.1" 404 149 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:127.0.0.1 - - [17/Jun/2020:17:38:30 +0000] "GET / HTTP/1.1" 200 58097 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
::ffff:183.136.225.44 - - [17/Jun/2020:17:58:52 +0000] "GET / HTTP/1.1" 200 58097 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:47.0) Gecko/20100101 Firefox/47.0"
::ffff:127.0.0.1 - - [17/Jun/2020:18:26:29 +0000] "GET / HTTP/1.1" 200 58097 "-" "Mozilla/5.0 (compatible; Nimbostratus-Bot/v1.3.2; http://cloudsystemnetworks.com)"
::ffff:127.0.0.1 - - [17/Jun/2020:18:32:26 +0000] "GET / HTTP/1.1" 200 58097 "-" "bitdiscovery"
::ffff:127.0.0.1 - - [17/Jun/2020:18:32:52 +0000] "GET / HTTP/1.1" 200 58097 "-" "bitdiscovery"
::ffff:127.0.0.1 - - [17/Jun/2020:18:33:54 +0000] "GET / HTTP/1.1" 200 58097 "-" "bitdiscovery"
::ffff:127.0.0.1 - - [17/Jun/2020:18:47:08 +0000] "HEAD / HTTP/1.1" 200 58097 "-" "bitdiscovery"
::ffff:127.0.0.1 - - [17/Jun/2020:18:48:22 +0000] "HEAD / HTTP/1.1" 200 58097 "-" "bitdiscovery"
::ffff:127.0.0.1 - - [17/Jun/2020:18:49:25 +0000] "HEAD / HTTP/1.1" 200 58097 "-" "bitdiscovery"
::ffff:127.0.0.1 - - [17/Jun/2020:18:50:26 +0000] "HEAD / HTTP/1.1" 200 58097 "-" "bitdiscovery"
::ffff:127.0.0.1 - - [17/Jun/2020:19:31:33 +0000] "GET / HTTP/1.1" 200 58097 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:127.0.0.1 - - [17/Jun/2020:20:08:15 +0000] "GET / HTTP/1.1" 200 58097 "-" "Mozilla/5.0"
::ffff:127.0.0.1 - - [17/Jun/2020:20:49:48 +0000] "GET / HTTP/1.1" 200 58097 "http://3.22.177.86:80/left.html" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:77.0) Gecko/20100101 Firefox/77.0"
::ffff:127.0.0.1 - - [17/Jun/2020:21:16:00 +0000] "HEAD / HTTP/1.1" 200 58097 "-" "bitdiscovery"
::ffff:127.0.0.1 - - [17/Jun/2020:21:16:05 +0000] "GET / HTTP/1.1" 200 58097 "-" "bitdiscovery"
::ffff:127.0.0.1 - - [17/Jun/2020:21:16:16 +0000] "HEAD / HTTP/1.1" 200 58097 "-" "bitdiscovery"
::ffff:127.0.0.1 - - [17/Jun/2020:21:16:24 +0000] "GET / HTTP/1.1" 200 58097 "-" "bitdiscovery"
::ffff:127.0.0.1 - - [17/Jun/2020:21:16:44 +0000] "GET / HTTP/1.1" 200 58097 "-" "bitdiscovery"
::ffff:127.0.0.1 - - [17/Jun/2020:21:17:07 +0000] "HEAD / HTTP/1.1" 200 58097 "-" "bitdiscovery"
::ffff:127.0.0.1 - - [17/Jun/2020:21:17:33 +0000] "GET / HTTP/1.1" 200 58097 "-" "bitdiscovery"
::ffff:209.17.96.74 - - [17/Jun/2020:21:53:51 +0000] "GET / HTTP/1.0" 200 58097 "-" "Mozilla/5.0 (compatible; Nimbostratus-Bot/v1.3.2; http://cloudsystemnetworks.com)"
::ffff:127.0.0.1 - - [17/Jun/2020:22:14:48 +0000] "GET / HTTP/1.1" 200 58097 "-" "-"
::ffff:127.0.0.1 - - [17/Jun/2020:22:14:48 +0000] "GET / HTTP/1.1" 200 58097 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:45.148.10.97 - - [17/Jun/2020:22:33:31 +0000] "GET / HTTP/1.1" 200 58097 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
::ffff:127.0.0.1 - - [17/Jun/2020:23:05:37 +0000] "GET /robots.txt HTTP/1.1" 404 149 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [17/Jun/2020:23:29:39 +0000] "GET /solr/ HTTP/1.1" 404 144 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
::ffff:127.0.0.1 - - [17/Jun/2020:23:50:35 +0000] "GET / HTTP/1.1" 200 58097 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
::ffff:127.0.0.1 - - [17/Jun/2020:23:50:35 +0000] "GET /web_assets/assets/css/bootstrap.min.css HTTP/1.1" 200 144877 "http://swiftbullhead.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
